"filename", "language", "JSON", "JSON with Comments", "JavaScript", "HTML", "Markdown", "TOML", "Vue", "TypeScript", "CSS", "XML", "Rust", "comment", "blank", "total"
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/jquery.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/Community.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/Game.vue", "Vue", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 1, 29, 264
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/NewInstance.vue", "Vue", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 3, 60
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/Newspaper.vue", "Vue", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 1, 7, 85
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/Settings.vue", "Vue", 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 16, 200
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/dialogs/AddAccount.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/game/AccountManager.vue", "Vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/newInstance/CreateNew.vue", "Vue", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/settings/Accessibility.vue", "Vue", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/settings/Advance.vue", "Vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/settings/Appearance.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/settings/Download.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/settings/Extend.vue", "Vue", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/settings/Game.vue", "Vue", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 2, 50
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/pages/settings/General.vue", "Vue", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"/home/brokendeer/桌面/mc2/amethyst-launcher/src/utils/ConfigLoader.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 3, 12
"/home/brokendeer/桌面/mc2/amethyst-launcher/tsconfig.app.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 13
"/home/brokendeer/桌面/mc2/amethyst-launcher/tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/brokendeer/桌面/mc2/amethyst-launcher/tsconfig.node.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/brokendeer/桌面/mc2/amethyst-launcher/tsconfig.vitest.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/brokendeer/桌面/mc2/amethyst-launcher/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 3, 16
"/home/brokendeer/桌面/mc2/amethyst-launcher/vitest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 5, 1, 16
"/home/brokendeer/桌面/mc2/amethyst-launcher/vue.config.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"Total", "-", 26818, 14, 32, 15, 4, 19, 2657, 51, 810, 119, 17, 63, 515, 31134
