Date : 2023-05-01 20:55:43
Directory : /home/brokendeer/桌面/mc2/magical-launcher
Total : 60 files,  30556 codes, 63 comments, 515 blanks, all 31134 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/brokendeer/桌面/mc2/magical-launcher/src/components/Tag.vue               | Vue                |         29 |          0 |          4 |         33 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/components/TextInputBar.vue      | Vue                |         79 |          0 |          9 |         88 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/components/TextInputBox.vue      | Vue                |         72 |          0 |          9 |         81 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/components/TipBar.vue            | Vue                |         40 |          0 |          3 |         43 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/components/ToggleSwitch.vue      | Vue                |         72 |          0 |         11 |         83 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/components/ToggleSwitchBar.vue   | Vue                |         93 |          0 |         14 |        107 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/jquery.d.ts                      | TypeScript         |          1 |          0 |          0 |          1 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/Community.vue              | Vue                |          7 |          0 |          3 |         10 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/Game.vue                   | Vue                |        234 |          1 |         29 |        264 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/NewInstance.vue            | Vue                |         57 |          0 |          3 |         60 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/Newspaper.vue              | Vue                |         77 |          1 |          7 |         85 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/Settings.vue               | Vue                |        184 |          0 |         16 |        200 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/dialogs/AddAccount.vue     | Vue                |          7 |          0 |          5 |         12 |
| /home/brokendeer/桌面/mc2/magical-launcher/src/pages/game/AccountManager.vue    | Vue                |         31 |          0 |          7 |         38 |
